Index_Number,Order_ID,Order_Date,Supplier_ID,Supplier_Name,Product_ID,Product_Name,Category,Customer_ID,Customer_Name,Customer_Country,Warehouse_ID,Warehouse_Name,Carrier,Quantity,Unit_Cost,Discount_Rate,Total_Value,Expected_Delivery,Actual_Delivery,Lead_Time_Days,Status,Delivery_Bucket
40,ORD-0040,07-12-2023,SUP-002,TechSource Inc,P-004,Circuit Boards,Electronics,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,UPS Supply Chain,101,120,0.1,10908,28-12-2023,06-01-2024,21,Delivered,Late
41,ORD-0041,09-02-2023,SUP-002,TechSource Inc,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,FedEx Freight,456,3.25,0.03,1437.54,26-03-2023,,45,In Transit,Pending
42,ORD-0042,17-07-2023,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,DHL Supply Chain,347,22,0.04,7328.64,13-08-2023,15-08-2023,27,Delivered,Late
43,ORD-0043,03-07-2024,SUP-001,GlobalParts Ltd,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,DB Schenker,357,3.25,0.14,997.81,12-08-2024,,40,In Transit,Pending
44,ORD-0044,02-09-2024,SUP-001,GlobalParts Ltd,P-005,Rubber Seals,Components,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,Maersk Logistics,65,3.25,0.11,188.01,15-10-2024,17-10-2024,43,Delivered,Late
45,ORD-0045,13-08-2024,SUP-003,EuroParts GmbH,P-007,Aluminum Sheets,Raw Material,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,FedEx Freight,470,18.5,0.04,8347.2,29-08-2024,,16,In Transit,Pending
46,ORD-0046,13-03-2023,SUP-004,AsiaTrade Co,P-001,Electronic Components,Electronics,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,DHL Supply Chain,230,45,0.05,9832.5,04-04-2023,10-04-2023,22,Delivered,Late
47,ORD-0047,14-12-2024,SUP-001,GlobalParts Ltd,P-005,Rubber Seals,Components,C-003,IndustrialCorp,India,WH-05,São Paulo North,UPS Supply Chain,216,3.25,0.02,687.96,22-01-2025,27-01-2025,39,Delivered,Late
48,ORD-0048,15-07-2024,SUP-004,AsiaTrade Co,P-007,Aluminum Sheets,Raw Material,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,DB Schenker,217,18.5,0.04,3853.92,25-07-2024,26-07-2024,10,Delivered,Late
49,ORD-0049,28-03-2024,SUP-004,AsiaTrade Co,P-010,Bolt & Nut Sets,Hardware,C-006,GlobalTech Solutions,Singapore,WH-05,São Paulo North,Maersk Logistics,236,2.5,0.08,542.8,23-05-2024,,56,In Transit,Pending
50,ORD-0050,29-08-2023,SUP-002,TechSource Inc,P-002,Steel Rods,Raw Material,C-005,PrimeAssembly Co,Japan,WH-03,Berlin Depot,DB Schenker,57,8.5,0.12,426.36,12-09-2023,12-09-2023,14,Delivered,On Time
51,ORD-0051,16-03-2023,SUP-002,TechSource Inc,P-001,Electronic Components,Electronics,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,UPS Supply Chain,445,45,0.06,18823.5,11-04-2023,,26,Pending,Pending
52,ORD-0052,02-11-2024,SUP-005,PrimeMaterials Corp,P-004,Circuit Boards,Electronics,C-004,ManuFacture Ltd,UK,WH-04,Shanghai East,UPS Supply Chain,85,120,0.13,8874,10-11-2024,19-11-2024,8,Delivered,Late
53,ORD-0053,24-07-2024,SUP-001,GlobalParts Ltd,P-007,Aluminum Sheets,Raw Material,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,DB Schenker,35,18.5,0.14,556.85,10-08-2024,,17,In Transit,Pending
54,ORD-0054,21-11-2023,SUP-001,GlobalParts Ltd,P-008,Adhesive Compounds,Chemicals,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DB Schenker,314,9,0.09,2571.66,30-12-2023,,39,Pending,Pending
55,ORD-0055,01-05-2024,SUP-005,PrimeMaterials Corp,P-007,Aluminum Sheets,Raw Material,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,DHL Supply Chain,451,18.5,0.04,8009.76,25-05-2024,,24,Cancelled,Pending
56,ORD-0056,21-03-2023,SUP-002,TechSource Inc,P-005,Rubber Seals,Components,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,DHL Supply Chain,235,3.25,0.04,733.2,29-04-2023,29-04-2023,39,Delivered,On Time
57,ORD-0057,11-12-2024,SUP-003,EuroParts GmbH,P-009,LED Displays,Electronics,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,DHL Supply Chain,206,85,0.03,16984.7,21-12-2024,29-12-2024,10,Delivered,Late
58,ORD-0058,31-07-2023,SUP-004,AsiaTrade Co,P-007,Aluminum Sheets,Raw Material,C-005,PrimeAssembly Co,Japan,WH-03,Berlin Depot,UPS Supply Chain,41,18.5,0.06,712.99,23-08-2023,,23,In Transit,Pending
59,ORD-0059,27-12-2023,SUP-005,PrimeMaterials Corp,P-001,Electronic Components,Electronics,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,UPS Supply Chain,492,45,0.06,20811.6,17-01-2024,26-01-2024,21,Delivered,Late
60,ORD-0060,07-10-2023,SUP-004,AsiaTrade Co,P-009,LED Displays,Electronics,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,DHL Supply Chain,122,85,0.07,9644.1,26-10-2023,,19,In Transit,Pending
61,ORD-0061,11-05-2023,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,DHL Supply Chain,480,22,0.14,9081.6,26-05-2023,,15,In Transit,Pending
62,ORD-0062,17-04-2024,SUP-005,PrimeMaterials Corp,P-010,Bolt & Nut Sets,Hardware,C-001,AutoMakers Inc,USA,WH-01,Mumbai Central,UPS Supply Chain,453,2.5,0.04,1087.2,11-06-2024,08-06-2024,55,Delivered,On Time
63,ORD-0063,07-03-2024,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-003,IndustrialCorp,India,WH-04,Shanghai East,Maersk Logistics,152,120,0.13,15868.8,23-03-2024,,16,In Transit,Pending
64,ORD-0064,12-03-2023,SUP-004,AsiaTrade Co,P-001,Electronic Components,Electronics,C-001,AutoMakers Inc,USA,WH-05,São Paulo North,Maersk Logistics,342,45,0,15390,25-03-2023,03-04-2023,13,Delivered,Late
65,ORD-0065,29-04-2024,SUP-002,TechSource Inc,P-004,Circuit Boards,Electronics,C-005,PrimeAssembly Co,Japan,WH-01,Mumbai Central,DHL Supply Chain,74,120,0.14,7636.8,10-05-2024,16-05-2024,11,Delivered,Late
66,ORD-0066,28-04-2023,SUP-004,AsiaTrade Co,P-005,Rubber Seals,Components,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,DB Schenker,392,3.25,0.14,1095.64,02-06-2023,,35,Pending,Pending
67,ORD-0067,20-01-2024,SUP-001,GlobalParts Ltd,P-010,Bolt & Nut Sets,Hardware,C-003,IndustrialCorp,India,WH-01,Mumbai Central,DB Schenker,474,2.5,0.14,1019.1,22-03-2024,,62,Cancelled,Pending
68,ORD-0068,05-11-2023,SUP-002,TechSource Inc,P-002,Steel Rods,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-05,São Paulo North,DHL Supply Chain,366,8.5,0.15,2644.35,13-11-2023,22-11-2023,8,Delivered,Late
69,ORD-0069,25-10-2024,SUP-001,GlobalParts Ltd,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,Maersk Logistics,269,22,0.13,5148.66,19-11-2024,16-11-2024,25,Delivered,On Time
70,ORD-0070,21-03-2024,SUP-004,AsiaTrade Co,P-002,Steel Rods,Raw Material,C-003,IndustrialCorp,India,WH-04,Shanghai East,UPS Supply Chain,88,8.5,0.11,665.72,31-03-2024,,10,Cancelled,Pending
71,ORD-0071,29-08-2024,SUP-003,EuroParts GmbH,P-010,Bolt & Nut Sets,Hardware,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,UPS Supply Chain,432,2.5,0.05,1026,26-10-2024,,58,In Transit,Pending
72,ORD-0072,16-09-2024,SUP-002,TechSource Inc,P-002,Steel Rods,Raw Material,C-004,ManuFacture Ltd,UK,WH-03,Berlin Depot,DHL Supply Chain,301,8.5,0.05,2430.57,03-10-2024,,17,In Transit,Pending
73,ORD-0073,22-09-2023,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DHL Supply Chain,418,22,0.13,8000.52,17-10-2023,18-10-2023,25,Delivered,Late
74,ORD-0074,21-02-2024,SUP-003,EuroParts GmbH,P-009,LED Displays,Electronics,C-005,PrimeAssembly Co,Japan,WH-01,Mumbai Central,DHL Supply Chain,133,85,0.11,10061.45,13-03-2024,18-03-2024,21,Delivered,Late
75,ORD-0075,19-02-2024,SUP-004,AsiaTrade Co,P-008,Adhesive Compounds,Chemicals,C-001,AutoMakers Inc,USA,WH-04,Shanghai East,FedEx Freight,123,9,0.1,996.3,22-03-2024,23-03-2024,32,Delivered,Late
76,ORD-0076,17-07-2024,SUP-003,EuroParts GmbH,P-008,Adhesive Compounds,Chemicals,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,Maersk Logistics,391,9,0.05,3343.05,21-08-2024,,35,In Transit,Pending
77,ORD-0077,17-07-2023,SUP-004,AsiaTrade Co,P-005,Rubber Seals,Components,C-003,IndustrialCorp,India,WH-03,Berlin Depot,DHL Supply Chain,379,3.25,0.11,1096.26,26-08-2023,24-08-2023,40,Delivered,On Time
78,ORD-0078,26-08-2024,SUP-002,TechSource Inc,P-004,Circuit Boards,Electronics,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,UPS Supply Chain,380,120,0.12,40128,12-09-2024,10-09-2024,17,Delivered,On Time
79,ORD-0079,30-06-2024,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,Maersk Logistics,372,120,0.01,44193.6,12-07-2024,13-07-2024,12,Delivered,Late
80,ORD-0080,17-05-2024,SUP-001,GlobalParts Ltd,P-009,LED Displays,Electronics,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,DHL Supply Chain,454,85,0.13,33573.3,26-05-2024,,9,Cancelled,Pending
81,ORD-0081,22-02-2023,SUP-005,PrimeMaterials Corp,P-005,Rubber Seals,Components,C-004,ManuFacture Ltd,UK,WH-04,Shanghai East,UPS Supply Chain,104,3.25,0.07,314.34,01-04-2023,11-04-2023,38,Delivered,Late
82,ORD-0082,24-02-2023,SUP-001,GlobalParts Ltd,P-007,Aluminum Sheets,Raw Material,C-001,AutoMakers Inc,USA,WH-04,Shanghai East,DB Schenker,361,18.5,0.02,6544.93,10-03-2023,,14,Cancelled,Pending
83,ORD-0083,02-03-2024,SUP-005,PrimeMaterials Corp,P-005,Rubber Seals,Components,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,FedEx Freight,401,3.25,0.12,1146.86,08-04-2024,,37,Pending,Pending
84,ORD-0084,05-08-2024,SUP-004,AsiaTrade Co,P-008,Adhesive Compounds,Chemicals,C-003,IndustrialCorp,India,WH-04,Shanghai East,DB Schenker,166,9,0.09,1359.54,31-08-2024,,26,In Transit,Pending
85,ORD-0085,27-06-2023,SUP-001,GlobalParts Ltd,P-004,Circuit Boards,Electronics,C-003,IndustrialCorp,India,WH-02,Chicago Hub,FedEx Freight,132,120,0,15840,07-07-2023,06-07-2023,10,Delivered,On Time
86,ORD-0086,24-12-2024,SUP-004,AsiaTrade Co,P-010,Bolt & Nut Sets,Hardware,C-003,IndustrialCorp,India,WH-04,Shanghai East,FedEx Freight,157,2.5,0.13,341.48,21-02-2025,01-03-2025,59,Delivered,Late
87,ORD-0087,22-07-2023,SUP-001,GlobalParts Ltd,P-004,Circuit Boards,Electronics,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,DB Schenker,421,120,0.02,49509.6,12-08-2023,,21,Cancelled,Pending
88,ORD-0088,11-11-2023,SUP-002,TechSource Inc,P-003,Plastic Casings,Packaging,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,FedEx Freight,94,15.75,0.02,1450.89,10-12-2023,14-12-2023,29,Delivered,Late
89,ORD-0089,24-03-2023,SUP-003,EuroParts GmbH,P-007,Aluminum Sheets,Raw Material,C-005,PrimeAssembly Co,Japan,WH-03,Berlin Depot,DB Schenker,234,18.5,0.13,3766.23,04-04-2023,,11,In Transit,Pending
90,ORD-0090,12-08-2024,SUP-003,EuroParts GmbH,P-010,Bolt & Nut Sets,Hardware,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,FedEx Freight,355,2.5,0.1,798.75,01-10-2024,10-10-2024,50,Delivered,Late
91,ORD-0091,28-03-2024,SUP-003,EuroParts GmbH,P-010,Bolt & Nut Sets,Hardware,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,UPS Supply Chain,343,2.5,0.03,831.77,25-05-2024,,58,Pending,Pending
92,ORD-0092,08-12-2023,SUP-005,PrimeMaterials Corp,P-007,Aluminum Sheets,Raw Material,C-001,AutoMakers Inc,USA,WH-04,Shanghai East,UPS Supply Chain,219,18.5,0.02,3970.47,28-12-2023,04-01-2024,20,Delivered,Late
93,ORD-0093,15-02-2024,SUP-002,TechSource Inc,P-006,Copper Wire,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,UPS Supply Chain,349,22,0.01,7601.22,02-03-2024,06-03-2024,16,Delivered,Late
94,ORD-0094,09-07-2024,SUP-003,EuroParts GmbH,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-01,Mumbai Central,DB Schenker,346,22,0.01,7535.88,07-08-2024,10-08-2024,29,Delivered,Late
95,ORD-0095,01-10-2023,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,UPS Supply Chain,114,22,0.07,2332.44,20-10-2023,21-10-2023,19,Delivered,Late
96,ORD-0096,12-06-2023,SUP-004,AsiaTrade Co,P-002,Steel Rods,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-01,Mumbai Central,DB Schenker,373,8.5,0,3170.5,26-06-2023,01-07-2023,14,Delivered,Late
97,ORD-0097,07-06-2023,SUP-004,AsiaTrade Co,P-002,Steel Rods,Raw Material,C-001,AutoMakers Inc,USA,WH-02,Chicago Hub,UPS Supply Chain,341,8.5,0.04,2782.56,27-06-2023,05-07-2023,20,Delivered,Late
98,ORD-0098,29-05-2023,SUP-003,EuroParts GmbH,P-007,Aluminum Sheets,Raw Material,C-004,ManuFacture Ltd,UK,WH-04,Shanghai East,DHL Supply Chain,292,18.5,0.03,5239.94,20-06-2023,,22,In Transit,Pending
99,ORD-0099,03-06-2024,SUP-005,PrimeMaterials Corp,P-009,LED Displays,Electronics,C-001,AutoMakers Inc,USA,WH-02,Chicago Hub,Maersk Logistics,184,85,0.12,13763.2,17-06-2024,,14,In Transit,Pending
100,ORD-0100,05-07-2024,SUP-003,EuroParts GmbH,P-005,Rubber Seals,Components,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,UPS Supply Chain,238,3.25,0.05,734.82,19-08-2024,21-08-2024,45,Delivered,Late
101,ORD-0101,08-08-2024,SUP-005,PrimeMaterials Corp,P-007,Aluminum Sheets,Raw Material,C-003,IndustrialCorp,India,WH-04,Shanghai East,DHL Supply Chain,132,18.5,0.04,2344.32,30-08-2024,,22,Cancelled,Pending
102,ORD-0102,26-01-2024,SUP-004,AsiaTrade Co,P-001,Electronic Components,Electronics,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,UPS Supply Chain,477,45,0.15,18245.25,19-02-2024,,24,Cancelled,Pending
103,ORD-0103,13-04-2023,SUP-002,TechSource Inc,P-008,Adhesive Compounds,Chemicals,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,DB Schenker,179,9,0.01,1594.89,22-05-2023,,39,Pending,Pending
104,ORD-0104,29-09-2023,SUP-004,AsiaTrade Co,P-001,Electronic Components,Electronics,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DHL Supply Chain,250,45,0.1,10125,21-10-2023,27-10-2023,22,Delivered,Late
105,ORD-0105,14-05-2024,SUP-001,GlobalParts Ltd,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-05,São Paulo North,Maersk Logistics,377,22,0.09,7547.54,30-05-2024,,16,Cancelled,Pending
106,ORD-0106,10-10-2024,SUP-002,TechSource Inc,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,FedEx Freight,60,3.25,0.07,181.35,12-11-2024,,33,In Transit,Pending
107,ORD-0107,19-01-2024,SUP-003,EuroParts GmbH,P-001,Electronic Components,Electronics,C-003,IndustrialCorp,India,WH-01,Mumbai Central,FedEx Freight,193,45,0.04,8337.6,13-02-2024,12-02-2024,25,Delivered,On Time
108,ORD-0108,27-01-2024,SUP-004,AsiaTrade Co,P-010,Bolt & Nut Sets,Hardware,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,DHL Supply Chain,322,2.5,0.14,692.3,24-03-2024,28-03-2024,57,Delivered,Late
109,ORD-0109,13-11-2024,SUP-002,TechSource Inc,P-004,Circuit Boards,Electronics,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,Maersk Logistics,140,120,0.13,14616,21-11-2024,,8,In Transit,Pending
110,ORD-0110,20-12-2023,SUP-004,AsiaTrade Co,P-005,Rubber Seals,Components,C-002,TechBuild GmbH,Germany,WH-05,São Paulo North,FedEx Freight,493,3.25,0.1,1442.03,28-01-2024,,39,In Transit,Pending
